Market	Channel	Region	Category	SubCategory	Brand	Variant	PackType	PPG	PackSize	Year	Month	Week	Date	BrCatId	SalesValue	Volume	VolumeUnits	D1	D2	D3	D4	D5	D6	AV1	AV2	AV3	AV4	AV5	AV6	EV1	EV2	EV3	EV4	EV5	EV6	PrepDate
Market1	modern trade	allregion	powdermilk	allsubcategory	Brand1	dairy  others	allpacktype	allppg	allpacksize	2021	7	30	01-08-2021 00:00	Brand	30519949	4089.5	0	40.96549807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	04-10-2024 00:00
Market1	modern trade	allregion	powdermilk	allsubcategory	Brand1	dairy  others	allpacktype	allppg	allpacksize	2021	8	34	29-08-2021 00:00	Brand	28739580	3863.2	0	38.9522701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	04-10-2024 00:00
Market1	modern trade	allregion	powdermilk	allsubcategory	Brand1	dairy  others	allpacktype	allppg	allpacksize	2021	9	39	03-10-2021 00:00	Brand	36678068	4957.6	0	39.3116279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	04-10-2024 00:00
Market1	modern trade	allregion	powdermilk	allsubcategory	Brand1	dairy  others	allpacktype	allppg	allpacksize	2021	10	43	31-10-2021 00:00	Brand	26038729	3558.4	0	35.5679702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	04-10-2024 00:00
Market1	modern trade	allregion	powdermilk	allsubcategory	Brand1	dairy  others	allpacktype	allppg	allpacksize	2021	11	47	28-11-2021 00:00	Brand	28031308	3760	0	36.6573687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	04-10-2024 00:00
Market1	modern trade	allregion	powdermilk	allsubcategory	Brand1	dairy  others	allpacktype	allppg	allpacksize	2022	1	4	30-01-2022 00:00	Brand	25288914	3407.2	0	38.1944444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	04-10-2024 00:00
Market1	modern trade	allregion	powdermilk	allsubcategory	Brand1	dairy  others	allpacktype	allppg	allpacksize	2021	12	52	02-01-2022 00:00	Brand	28565547	3876.8	0	35.7461024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	04-10-2024 00:00
Market1	modern trade	allregion	powdermilk	allsubcategory	Brand1	dairy  others	allpacktype	allppg	allpacksize	2022	2	8	27-02-2022 00:00	Brand	26503546	3542.4	0	38.5558898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	04-10-2024 00:00
Market1	modern trade	allregion	powdermilk	allsubcategory	Brand1	dairy  others	allpacktype	allppg	allpacksize	2022	3	13	03-04-2022 00:00	Brand	34728302	4671.2	0	37.3636532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	04-10-2024 00:00
Market1	modern trade	allregion	powdermilk	allsubcategory	Brand1	dairy  others	allpacktype	allppg	allpacksize	2022	4	17	01-05-2022 00:00	Brand	26422557	3401.6	0	34.5656192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	04-10-2024 00:00
