Year,Month,Brand,Pack_Type,PPG,Channel,Sales_Value,Volume_kg
2020,January,Brand A,Small,Low,Modern Trade,150000.50,2500.75
2020,January,Brand B,Medium,Medium,Traditional Trade,220000.25,3200.50
2020,January,Brand C,Large,High,Modern Trade,180000.75,2800.25
2020,February,Brand A,Small,Low,Modern Trade,165000.30,2750.80
2020,February,Brand B,Medium,Medium,Traditional Trade,235000.45,3400.60
2020,February,Brand C,Large,High,Modern Trade,195000.90,3000.40
2020,March,Brand A,Small,Low,Modern Trade,175000.20,2900.30
2020,March,Brand B,Medium,Medium,Traditional Trade,245000.60,3550.75
2020,March,Brand C,Large,High,Modern Trade,210000.40,3250.90
2021,January,Brand A,Small,Low,Modern Trade,180000.80,3000.25
2021,January,Brand B,Medium,Medium,Traditional Trade,260000.35,3800.40
2021,January,Brand C,Large,High,Modern Trade,225000.60,3500.75
2021,February,Brand A,Small,Low,Modern Trade,195000.45,3250.60
2021,February,Brand B,Medium,Medium,Traditional Trade,275000.80,3950.25
2021,February,Brand C,Large,High,Modern Trade,240000.90,3750.40
2021,March,Brand A,Small,Low,Modern Trade,210000.30,3500.80
2021,March,Brand B,Medium,Medium,Traditional Trade,290000.55,4100.60
2021,March,Brand C,Large,High,Modern Trade,255000.75,4000.25
2022,January,Brand A,Small,Low,Modern Trade,220000.60,3700.40
2022,January,Brand B,Medium,Medium,Traditional Trade,310000.90,4300.75
2022,January,Brand C,Large,High,Modern Trade,280000.45,4250.60
2022,February,Brand A,Small,Low,Modern Trade,235000.75,3950.25
2022,February,Brand B,Medium,Medium,Traditional Trade,325000.40,4500.80
2022,February,Brand C,Large,High,Modern Trade,295000.80,4400.40
2022,March,Brand A,Small,Low,Modern Trade,250000.90,4200.60
2022,March,Brand B,Medium,Medium,Traditional Trade,340000.65,4700.25
2022,March,Brand C,Large,High,Modern Trade,310000.30,4600.80 
